alpha,epsilon,method,metric,value,mu0,sigma0,true_theta,sigma,xobs_1,xobs_2,xobs_3,xobs_4,xobs_5
1.0,inf,ABC,C2ST,0.9953500032424927,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_stat,115.46449712399676,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_METRICS,8.101901054382324,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,C2ST,0.5239499807357788,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_stat,6.564839489419175,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,NRE,RS_pvalue,5.208894059770088e-11,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_METRICS,8.101901054382324,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,C2ST,0.5209500193595886,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_stat,5.672992772002089,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,CORRECTED_NRE,RS_pvalue,1.4032415265940201e-08,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_SIMULATION,1.9255778789520264,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_TRAINING,245.30616903305054,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,TIME_METRICS,8.101901054382324,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TRAIN_ACCURACY,0.9797592163085938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
1.0,inf,ALL,NN_TEST_ACCURACY,0.9795265197753906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,C2ST,0.9955499768257141,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,RS_stat,116.8419038522362,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_SIMULATION,1.109724998474121,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_TRAINING,235.82674193382263,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_METRICS,8.84332799911499,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TRAIN_ACCURACY,0.97906494140625,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TEST_ACCURACY,0.9795608520507812,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,C2ST,0.5262500047683716,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,RS_stat,-7.333139482329525,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,NRE,RS_pvalue,2.248227282731817e-13,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_SIMULATION,1.109724998474121,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_TRAINING,235.82674193382263,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_METRICS,8.84332799911499,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TRAIN_ACCURACY,0.97906494140625,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TEST_ACCURACY,0.9795608520507812,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,CORRECTED_NRE,C2ST,0.5274999737739563,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,CORRECTED_NRE,RS_stat,-7.434119621993568,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,CORRECTED_NRE,RS_pvalue,1.0526667783088765e-13,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_SIMULATION,1.109724998474121,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_TRAINING,235.82674193382263,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,TIME_METRICS,8.84332799911499,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TRAIN_ACCURACY,0.97906494140625,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.99,7436.635,ALL,NN_TEST_ACCURACY,0.9795608520507812,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ABC,C2ST,0.9950000047683716,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ABC,RS_stat,115.38602478289123,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_SIMULATION,0.6357169151306152,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_TRAINING,244.59030079841614,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_METRICS,7.56214714050293,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TRAIN_ACCURACY,0.9765205383300781,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TEST_ACCURACY,0.9760093688964844,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,NRE,C2ST,0.5349000096321106,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,NRE,RS_stat,-8.219139413898407,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,NRE,RS_pvalue,2.04968660306211e-16,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_SIMULATION,0.6357169151306152,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_TRAINING,244.59030079841614,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_METRICS,7.56214714050293,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TRAIN_ACCURACY,0.9765205383300781,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TEST_ACCURACY,0.9760093688964844,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,CORRECTED_NRE,C2ST,0.5306000113487244,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,CORRECTED_NRE,RS_stat,-7.148246820844039,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,CORRECTED_NRE,RS_pvalue,8.789317343360909e-13,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_SIMULATION,0.6357169151306152,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_TRAINING,244.59030079841614,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,TIME_METRICS,7.56214714050293,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TRAIN_ACCURACY,0.9765205383300781,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.9,4276.669,ALL,NN_TEST_ACCURACY,0.9760093688964844,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ABC,C2ST,0.9934499859809875,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ABC,RS_stat,115.10106194443236,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_SIMULATION,0.6469697952270508,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_TRAINING,212.4310200214386,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_METRICS,7.137663125991821,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TRAIN_ACCURACY,0.9722480773925781,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TEST_ACCURACY,0.9718246459960938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,NRE,C2ST,0.5129500031471252,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,NRE,RS_stat,4.136190708329491,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,NRE,RS_pvalue,3.531187555401381e-05,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_SIMULATION,0.6469697952270508,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_TRAINING,212.4310200214386,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_METRICS,7.137663125991821,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TRAIN_ACCURACY,0.9722480773925781,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TEST_ACCURACY,0.9718246459960938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,CORRECTED_NRE,C2ST,0.5084499716758728,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,CORRECTED_NRE,RS_stat,3.1837316577717516,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,CORRECTED_NRE,RS_pvalue,0.0014538972465470842,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_SIMULATION,0.6469697952270508,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_TRAINING,212.4310200214386,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,TIME_METRICS,7.137663125991821,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TRAIN_ACCURACY,0.9722480773925781,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.75,2836.507,ALL,NN_TEST_ACCURACY,0.9718246459960938,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ABC,C2ST,0.9908000230789185,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ABC,RS_stat,111.60831895911181,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_SIMULATION,0.6851711273193359,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_TRAINING,224.88661813735962,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_METRICS,7.447979211807251,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TRAIN_ACCURACY,0.9633598327636719,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TEST_ACCURACY,0.9629783630371094,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,NRE,C2ST,0.5212500095367432,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,NRE,RS_stat,-6.527445289104297,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,NRE,RS_pvalue,6.69009322725276e-11,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_SIMULATION,0.6851711273193359,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_TRAINING,224.88661813735962,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_METRICS,7.447979211807251,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TRAIN_ACCURACY,0.9633598327636719,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TEST_ACCURACY,0.9629783630371094,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,CORRECTED_NRE,C2ST,0.511900007724762,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,CORRECTED_NRE,RS_stat,-4.107616900071331,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,CORRECTED_NRE,RS_pvalue,3.9976245815658225e-05,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_SIMULATION,0.6851711273193359,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_TRAINING,224.88661813735962,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,TIME_METRICS,7.447979211807251,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TRAIN_ACCURACY,0.9633598327636719,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.5,1579.4377,ALL,NN_TEST_ACCURACY,0.9629783630371094,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ABC,C2ST,0.9843500256538391,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ABC,RS_stat,99.58843684631779,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_SIMULATION,0.5961811542510986,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_TRAINING,215.28737688064575,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_METRICS,7.317981243133545,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TRAIN_ACCURACY,0.9538459777832031,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TEST_ACCURACY,0.9528236389160156,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,NRE,C2ST,0.5191500186920166,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,NRE,RS_stat,-6.4447035941096,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,NRE,RS_pvalue,1.1582655499049656e-10,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_SIMULATION,0.5961811542510986,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_TRAINING,215.28737688064575,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_METRICS,7.317981243133545,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TRAIN_ACCURACY,0.9538459777832031,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TEST_ACCURACY,0.9528236389160156,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,CORRECTED_NRE,C2ST,0.508400022983551,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,CORRECTED_NRE,RS_stat,-4.753485883160265,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,CORRECTED_NRE,RS_pvalue,1.9993907085549866e-06,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_SIMULATION,0.5961811542510986,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_TRAINING,215.28737688064575,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,TIME_METRICS,7.317981243133545,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TRAIN_ACCURACY,0.9538459777832031,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.25,690.6506,ALL,NN_TEST_ACCURACY,0.9528236389160156,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ABC,C2ST,0.962149977684021,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ABC,RS_stat,73.73709611647662,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ABC,RS_pvalue,0.0,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_SIMULATION,0.7157618999481201,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_TRAINING,205.97215795516968,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_METRICS,6.624601125717163,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,NN_TRAIN_ACCURACY,0.9395484924316406,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,NN_TEST_ACCURACY,0.9391212463378906,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,NRE,C2ST,0.5010499954223633,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,NRE,RS_stat,-1.2432233604374168,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,NRE,RS_pvalue,0.21378553667652123,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_SIMULATION,0.7157618999481201,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_TRAINING,205.97215795516968,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
0.1,210.05894,ALL,TIME_METRICS,6.624601125717163,0.0,20.0,40.0,1.0,38.541805,37.952957,42.04734,41.16841,39.024162
